,Zone,Resort Name,State,Base Elevation (ft),Top Elevation (ft),Snowfall Score,Total Snow Score With Preservation,Overall Ranking,Regional Ranking,State Ranking,True Snow Per Year (inches),Snow Quality Rank,Dump Potential Rank,MonthsMoreThan90Snow,MonthsLessThan30Snow,latitude,longitude,Acreage,Total Runs,Longest Run (ft),Lifts,Uphill Max (ppl/hr),Terrain Parks,Halfpipes
123,Canadian-Rockies,Marmot Basin,AB,5570,8570,28.8,50.9,118,17,3,160, 124, 198,0.0,63.0,52.801274,-118.083819,1675 ,86,18480 ,7,11931  ,0,0
124,SoCal,China Peak,CA,7030,8709,49.3,49.8,126,1,16,300, 125, 105,25.0,40.0,37.231336,-119.174176,430 ,45,11880 ,11,9242  ,3,0
125,Rockies,Great Divide,MT,5900,7250,37.3,49.6,136,64,12,180, 126, 170,1.0,45.0,46.752976,-112.309996,1600 ,140,15840 ,6,  ,5,0
126,Northwest,Mt Hood Skibowl,OR,3527,5027,62.8,49.2,101,14,5,350, 127, 50,22.0,18.0,45.302045,-121.772421,960 ,65,6336 ,9,  ,0,0
127,Rockies,White Pine,WY,8400,9500,28.6,48.9,160,72,6,150, 128, 201,0.0,60.0,42.897095,-110.074875,370 ,25,1600 ,2,  ,0,0
128,East,Stowe,VT,2235,4395,64.2,48.5,59,1,1,305, 129, 45,6.8,11.3,44.531239,-72.781337,485 ,116,19700 ,13,15516  ,1,0
129,East,Smugglers Notch,VT,1030,3640,62.4,48.4,80,3,3,322, 130, 52,8.6,11.2,44.572342,-72.77479606158863,1000 ,78,18840 ,8,  ,1,0
130,Rockies,Showdown,MT,6800,8200,36.9,46.3,144,66,13,175, 131, 174,1.0,45.0,46.91879,-110.716141,640 ,34,9240 ,4,  ,0,0
131,Rockies,Snow King,WY,6237,7808,22.1,45.3,122,60,4,150, 132, 218,0.0,60.0,43.473757,-110.758949,400 ,31,4752 ,5,2700  ,0,0
132,Eastern-Canada,Massif Du Sud,QC,1689,3001,47.8,44.7,148,6,5,236, 133, 110,2.0,27.0,46.620569,-70.491101,226 ,30,11483 ,2,  ,0,0
133,Canadian-Rockies,Harper Mountain,BC,3600,5000,26.5,44.5,176,22,21,156, 134, 210,0.0,65.0,50.723414,-120.137925,400 ,15,1200 ,3,3600  ,0,0
134,Canadian-Rockies,Nakiska,AB,5003,7415,24.6,44.3,137,19,4,99, 135, 215,0.0,80.0,50.943191,-115.152852,1021 ,71,17424 ,6,8830  ,0,0
135,SoCal,Snow Summit,CA,7000,8200,45.4,44.1,146,2,19,83, 136, 125,0.0,78.8,34.237049,-116.88975,240 ,31,6600 ,14,18550  ,2,0
136,Eastern-Canada,Mont Sutton,QC,1675,3175,54.7,43.0,133,3,3,236, 137, 81,4.6,15.3,45.103865,-72.561473,230 ,60,9383 ,9,11800  ,0,0
137,East,Sugarbush,VT,1483,4083,59.4,41.8,85,5,5,267, 138, 66,6.5,14.1,44.13757,-72.89458078756464,508 ,111,15840 ,16,25463  ,3,0
138,East,Killington,VT,1165,4241,59.8,41.7,83,4,4,240, 139, 64,5.2,19.7,43.62014,-72.802773,752 ,140,32480 ,22,38315  ,5,1
139,Eastern-Canada,Stoneham,QC,695,2075,52.5,41.6,142,5,4,165, 140, 94,1.0,60.0,47.027042,-71.385,326 ,39,10502 ,7,9850  ,0,0
140,Rockies,Montana Snowbowl,MT,5000,7600,44.1,41.5,92,51,7,250, 142, 128,5.0,30.0,46.969447,-114.015623,1200 ,32,15840 ,4,3400  ,0,0
141,Sierras,Bear Mountain,CA,7140,8805,37.6,41.5,140,18,17,83, 141, 167,0.0,78.8,34.226813,-116.860653,748 ,24,7920 ,12,16590  ,6,4
142,East,Pico Mountain,VT,2000,3967,54.8,41.3,131,10,7,250, 143, 80,6.0,20.0,43.662563,-72.842535,265 ,52,13200 ,9,  ,1,0
143,Sierras,Mt Shasta,CA,5500,6900,54.1,41.0,145,19,18,300, 144, 84,20.0,30.0,41.323329,-122.2036307,425 ,32,9240 ,5,6200  ,3,1
144,Canadian-Rockies,Kimberley,BC,4035,6500,30.0,40.8,153,21,20,150, 145, 196,0.0,55.0,49.687895,-116.011089,1800 ,68,20962 ,5,6452  ,0,0
